00EJ,E02004316,530
00EJ,E02004317,540
00EJ,E02004318,640
00EJ,E02004319,590
00EJ,E02004320,570
00EJ,E02004321,480
00EJ,E02004322,460
00EJ,E02004323,520
00EJ,E02004324,530
00EJ,E02004325,440
00EJ,E02004326,490
00EJ,E02004327,470
00EJ,E02004328,500
00EJ,E02004329,600
00EJ,E02004330,470
00EJ,E02004331,460
00EJ,E02004332,540
00EJ,E02004333,610
00EJ,E02004334,540
00EJ,E02004335,480
00EJ,E02004336,470
00EJ,E02004337,550
00EJ,E02004338,500
00EJ,E02004339,700
00EJ,E02004340,460
00EJ,E02004341,760
00EJ,E02004342,520
00EJ,E02004343,510
00EJ,E02004344,540
00EJ,E02004345,550
00EJ,E02004346,630
00EJ,E02004347,590
00EJ,E02004348,590
00EJ,E02004349,470
00EJ,E02004350,560
00EJ,E02004351,470
00EJ,E02004352,500
00EJ,E02004353,590
00EJ,E02004354,530
00EJ,E02004355,460
00EM,E02005702,680
00EM,E02005703,540
00EM,E02005704,580
00EM,E02005705,650
00EM,E02005706,490
00EM,E02005707,580
00EM,E02005708,530
00EM,E02005709,450
00EM,E02005710,480
00EM,E02005711,480
00EM,E02005712,590
00EM,E02005713,800
00EM,E02005714,1200
00EM,E02005715,540
00EM,E02005716,590
00EM,E02005717,570
00EM,E02005718,580
00EM,E02005719,530
00EM,E02005720,550
00EM,E02005721,620
00EM,E02005722,810
00EM,E02005723,540
00EM,E02005724,910
00EM,E02005725,730
00EM,E02005726,960
00EM,E02005727,620
00EM,E02005728,550
00EM,E02005729,770
00EM,E02005730,650
00EM,E02005731,600
00EM,E02005732,780
00EM,E02005733,680
00EM,E02005734,450
00EM,E02005735,480
00EM,E02005736,500
00EM,E02005737,520
00EM,E02005738,590
00EM,E02005739,550
00EM,E02005740,480
00EM,E02005741,610
00BL,E02000984,890
00BL,E02000985,740
00BL,E02000986,620
00BL,E02000987,540
00BL,E02000988,490
00BL,E02000989,670
00BL,E02000990,670
00BL,E02000991,570
00BL,E02000992,620
00BL,E02000993,470
00BL,E02000994,440
00BL,E02000995,610
00BL,E02000996,470
00BL,E02000997,670
00BL,E02000998,460
00BL,E02000999,370
00BL,E02001000,470
00BL,E02001001,600
00BL,E02001002,570
00BL,E02001003,870
00BL,E02001004,390
00BL,E02001005,480
00BL,E02001006,480
00BL,E02001007,580
00BL,E02001008,440
00BL,E02001009,470
00BL,E02001010,490
00BL,E02001011,690
00BL,E02001012,570
00BL,E02001013,710
00BL,E02001014,550
00BL,E02001015,480
00BL,E02001016,470
00BL,E02001017,590
00BL,E02001018,730
00BM,E02001019,630
00BM,E02001020,780
00BM,E02001021,780
00BM,E02001022,590
00BM,E02001023,670
00BM,E02001024,670
00BM,E02001025,500
00BM,E02001026,450
00BM,E02001027,550
00BM,E02001028,730
00BM,E02001029,510
00BM,E02001030,710
00BM,E02001031,570
00BM,E02001032,580
00BM,E02001033,590
00BM,E02001034,480
00BM,E02001035,650
00BM,E02001036,590
00BM,E02001037,660
00BM,E02001038,540
00BM,E02001039,530
00BM,E02001040,630
00BM,E02001041,570
00BM,E02001042,600
00BM,E02001043,600
00BM,E02001044,640
00BN,E02001045,440
00BN,E02001046,450
00BN,E02001047,440
00BN,E02001048,480
00BN,E02001049,510
00BN,E02001050,440
00BN,E02001051,470
00BN,E02001052,420
00BN,E02001053,390
00BN,E02001054,420
00BN,E02001055,440
00BN,E02001056,400
00BN,E02001057,420
00BN,E02001058,440
00BN,E02001059,430
00BN,E02001060,480
00BN,E02001061,420
00BN,E02001062,410
00BN,E02001063,440
00BN,E02001064,410
00BN,E02001065,470
00BN,E02001066,390
00BN,E02001067,410
00BN,E02001068,390
00BN,E02001069,420
00BN,E02001070,400
00BN,E02001071,450
00BN,E02001072,540
00BN,E02001073,680
00BN,E02001074,480
00BN,E02001075,480
00BN,E02001076,400
00BN,E02001077,720
00BN,E02001078,540
00BN,E02001079,460
00BN,E02001080,450
00BN,E02001081,730
00BN,E02001082,660
00BN,E02001083,700
00BN,E02001084,610
00BN,E02001085,460
00BN,E02001086,560
00BN,E02001087,880
00BN,E02001088,500
00BN,E02001089,680
00BN,E02001090,590
00BN,E02001091,530
00BN,E02001092,480
00BN,E02001093,510
00BN,E02001094,440
00BN,E02001095,470
00BN,E02001096,520
00BN,E02001097,480
00BP,E02001098,570
00BP,E02001099,560
00BP,E02001100,590
00BP,E02001101,700
00BP,E02001102,640
00BP,E02001103,760
00BP,E02001104,650
00BP,E02001105,550
00BP,E02001106,560
00BP,E02001107,590
00BP,E02001108,470
00BP,E02001109,480
00BP,E02001110,810
00BP,E02001111,390
00BP,E02001112,720
00BP,E02001113,400
00BP,E02001114,510
00BP,E02001115,570
00BP,E02001116,500
00BP,E02001117,700
00BP,E02001118,650
00BP,E02001119,400
00BP,E02001120,380
00BP,E02001121,400
00BP,E02001122,500
00BP,E02001123,500
00BP,E02001124,460
00BP,E02001125,560
00BP,E02001126,460
00BP,E02001127,500
00BP,E02001128,510
00BP,E02001129,480
00BP,E02001130,550
00BP,E02001131,580
00BQ,E02001132,570
00BQ,E02001133,670
00BQ,E02001134,680
00BQ,E02001135,450
00BQ,E02001136,580
00BQ,E02001137,800
00BQ,E02001138,710
00BQ,E02001139,420
00BQ,E02001140,520
00BQ,E02001141,420
00BQ,E02001142,780
00BQ,E02001143,490
00BQ,E02001144,570
00BQ,E02001145,630
00BQ,E02001146,400
00BQ,E02001147,480
00BQ,E02001148,530
00BQ,E02001149,450
00BQ,E02001150,500
00BQ,E02001151,580
00BQ,E02001152,530
00BQ,E02001153,450
00BQ,E02001154,530
00BQ,E02001155,500
00BQ,E02001156,610
00BR,E02001157,430
00BR,E02001158,460
00BR,E02001159,510
00BR,E02001160,500
00BR,E02001161,520
00BR,E02001162,510
00BR,E02001163,590
00BR,E02001164,520
00BR,E02001165,530
00BR,E02001166,500
00BR,E02001167,510
00BR,E02001168,510
00BR,E02001169,840
00BR,E02001170,750
00BR,E02001171,600
00BR,E02001172,420
00BR,E02001173,420
00BR,E02001174,550
00BR,E02001175,530
00BR,E02001176,540
00BR,E02001177,480
00BR,E02001178,470
00BR,E02001179,440
00BR,E02001180,380
00BR,E02001181,480
00BR,E02001182,480
00BR,E02001183,510
00BR,E02001184,530
00BR,E02001185,550
00BR,E02001186,530
00BS,E02001187,570
00BS,E02001188,530
00BS,E02001189,590
00BS,E02001190,450
00BS,E02001191,580
00BS,E02001192,710
00BS,E02001193,520
00BS,E02001194,760
00BS,E02001195,620
00BS,E02001196,640
00BS,E02001197,650
00BS,E02001198,550
00BS,E02001199,790
00BS,E02001200,460
00BS,E02001201,600
00BS,E02001202,540
00BS,E02001203,940
00BS,E02001204,640
00BS,E02001205,560
00BS,E02001206,630
00BS,E02001207,700
00BS,E02001208,630
00BS,E02001209,620
00BS,E02001210,530
00BS,E02001211,720
00BS,E02001212,550
00BS,E02001213,630
00BS,E02001214,680
