AGG 		Angorarn Airport 	Angorarn; Papua New Guinea
AGH 	ESTA 	Ängelholm-Helsingborg Airport (former ICAO: ESDB) 	Ängelholm; Sweden
AGI 	SMWA 	Wageningen Airport 	Wageningen; Suriname
AGJ 	RORA 	Aguni Airport 	Aguni; Japan
AGK 		Kagua Airport 	Kagua; Papua New Guinea
AGL 		Wanigela Airport 	Wanigela; Papua New Guinea
AGM 	BGAM 	Tasiilaq Heliport 	Tasiilaq; Greenland
AGN 	PAGN 	Angoon Seaplane Base 	Angoon; Alaska; United States
AGO 	KAGO 	Magnolia Municipal Airport 	Magnolia; Arkansas; United States
AGP 	LEMG 	Pablo Ruiz Picasso Airport 	Málaga; Spain
AGQ 	LGAG 	Agrinion Airport 	Agrinion; Greece
AGR 	VIAG 	Agra Airport/Agra Air Force Station 	Agra; India
AGS 	KAGS 	Augusta Regional Airport at Bush Field 	Augusta; Georgia; United States
AGT 	SGES 	Guarani International Airport (Alejo Garcia Airport) 	Ciudad del Este; Paraguay
AGU 	MMAS 	Lic. Jesús Terán Peredo International Airport 	Aguascalientes; Mexico
AGV 	SVAC 	Oswaldo Guevara Mujica Airport 	Acarigua; Venezuela
AGW 		Agnew Airport 	Agnew; Queensland; Australia
AGX 	VOAT 	Agatti Island Airport 	Agatti Island; India
AGY 		Argyle Downs Airport 	Argyle Downs; Western Australia; Australia
AGZ 	FAAG 	Aggeneys Airport 	Aggeneys; South Africa
-AH-
AHB 	OEAB 	Abha Regional Airport 	Abha / Khamis Mushait; Saudi Arabia
AHC 	KAHC 	Amedee Army Airfield 	Herlong; California; United States
AHD 		Ardmore Downtown Executive Airport (FAA: 1F0) 	Ardmore; Oklahoma; United States
AHE 	NTHE 	Ahe Airport 	Ahe; French Polynesia
AHF 		Arapahoe Municipal Airport (FAA: 37V) 	Arapahoe; Nebraska; United States
AHH 	KAHH 	Amery Municipal Airport 	Amery; Wisconsin; United States
AHI 	WAPA 	Amahai Airport 	Amahai; Indonesia
AHL 	SYAH 	Aishalton Airport 	Aishalton; Guyana
AHN 	KAHN 	Athens-Ben Epps Airport 	Athens; Georgia; United States
AHO 	LIEA 	Fertilia Airport (Alghero Airport) 	Alghero; Sardinia; Italy
AHS 		Ahuas Airport 	Ahuas; Honduras
AHU 	GMTA 	Charif Al ldrissi Airport 	Al Hoceima; Morocco
AHY 		Ambatolahy Airport 	Ambatolahy; Madagascar
AHZ 	LFHU 	Alpe d'Huez Airport 	Alpe d'Huez; France
-AI-
AIA 	KAIA 	Alliance Municipal Airport 	Alliance; Nebraska; United States
AIC 		Airok Airport 	Airok; Marshall Islands
AID 	KAID 	Anderson Municipal Airport (Darlington Field) 	Anderson; Indiana; United States
AIE 		Aiome Airport 	Aiome; Papua New Guinea
AIF 	SBAS 	Assis Airport 	Assis; São Paulo; Brazil
AIG 	FEFY 	Yalinga Airport 	Yalinga; Central African Republic
AIH 		Aiambak Airport 	Aiambak; Papua New Guinea
AII 	HDAS 	Ali-Sabieh Airport 	Ali-Sabieh; Djibouti
AIK 	KAIK 	Aiken Municipal Airport 	Aiken; South Carolina; United States
AIL 		Ailigandi Airport 	Ailigandi; Panama
AIM 		Ailuk Airport 	Ailuk; Marshall Islands
AIN 	PAWI 	Wainwright Airport (FAA: AWI) 	Fort Wainwright; Alaska; United States
AIO 	KAIO 	Atlantic Municipal Airport 	Atlantic; Iowa; United States
AIP 		Ailinglaplap Airport 	Ailinglaplap Atoll; Marshall Islands
AIR 		Aripuanã Airport 	Aripuanã; Mato Grosso; Brazil
AIS 	NGTR 	Arorae Island Airport 	Arorae Island; Kiribati
AIT 	NCAI 	Aitutaki Island Airport 	Aitutaki; Cook Islands
AIU 	NCAT 	Atiu Island Airport 	Atiu Island; Cook Islands
AIV 	KAIV 	George Downer Airport 	Aliceville; Alabama; United States
AIW 		Ai-Ais Airport 	Ai-Ais; Namibia
AIY 	KAIY 	Atlantic City Municipal Airport (Bader Field) (closed 2006) 	Atlantic City; New Jersey; United States
AIZ 	KAIZ 	Lee C. Fine Memorial Airport 	Lake Ozark; Missouri; United States
-AJ-
AJA 	LFKJ 	Ajaccio - Campo dell'Oro Airport 	Ajaccio; Corsica; France
AJF 	OESK 	Al-Jawf Domestic Airport 	Al-Jawf; Saudi Arabia
AJI 	LTCO 	Ağrı Airport 	Ağrı; Turkey
AJJ 	GQNJ 	Akjoujt Airport 	Akjoujt; Mauritania
AJL 	VEAZ 	Aizawl Airport 	Aizawl; India
AJN 	FMCV 	Ouani Airport 	Anjouan; Comoros
AJO 		Aljouf Airport 	Aljouf; Yemen
AJR 	ESNX 	Arvidsjaur Airport 	Arvidsjaur; Sweden
AJS 		Abreojos Airport 	Abreojos; Baja California Sur; Mexico
AJU 	SBAR 	Santa Maria Airport 	Aracaju; Sergipe; Brazil
AJY 	DRZA 	Mano Dayak International Airport 	Agadez; Niger
-AK-
AKA 	ZLAK 	Ankang Airport 	Ankang; Shaanxi; China
AKB 	PAAK 	Atka Airport (FAA: AKA) 	Atka; Alaska; United States
AKC 	KAKR 	Akron Fulton International Airport (FAA: AKR) 	Akron; Ohio; United States
AKD 	VAAK 	Akola Airport 	Akola; India
AKE 	FOGA 	Akieni Airport 	Akieni; Gabon
AKF 	HLKF 	Kufra Airport 	Kufra; Libya
AKG 		Anguganak Airport 	Anguganak; Papua New Guinea
AKI 	PFAK 	Akiak Airport 	Akiak; Alaska; United States
AKJ 	RJEC 	Asahikawa Airport 	Asahikawa; Hokkaido; Japan
AKK 	PAKH 	Akhiok Airport 	Akhiok; Alaska; United States
AKL 	NZAA 	Auckland Airport 	Mangere; New Zealand
AKM 		Zakouma Airport 	Zakouma; Chad
AKN 	PAKN 	King Salmon Airport 	King Salmon; Alaska; United States
AKO 	KAKO 	Colorado Plains Regional Airport 	Akron; Colorado; United States
AKP 	PAKP 	Anaktuvuk Pass Airport 	Anaktuvuk Pass; Alaska; United States
AKQ 	WIAG 	Gunung Batin Airport 	Astraksetra; Indonesia
AKR 	DNAK 	Akure Airport 	Akure; Nigeria
AKS 	AGGA 	Gwaunaru'u Airport 	Auki; Solomon Islands
AKT 	LCRA 	RAF Akrotiri 	Akrotiri; Cyprus
AKU 	ZWAK 	Aksu Airport 	Aksu; Xinjiang; China
AKV 	CYKO 	Akulivik Airport 	Akulivik; Quebec; Canada
AKX 	UATT 	Aktobe Airport 	Aktobe (Aktyubinsk); Kazakhstan
AKY 	VYSW 	Sittwe Airport 	Sittwe; Myanmar (Burma)
-AL-
ALA 	UAAA 	Almaty International Airport 	Almaty; Kazakhstan
ALB 	KALB 	Albany International Airport 	Albany; New York; United States
ALC 	LEAL 	El Altet Airport 	Alicante; Spain
ALD 	SPAR 	Alerta Airport 	Alerta; Peru
ALE 		Alpine-Casparis Municipal Airport (FAA: E38) 	Alpine; Texas; United States
ALF 	ENAT 	Alta Airport 	Alta; Norway
ALG 	DAAG 	Houari Boumediene Airport 	Algiers; Algeria
ALH 	YABA 	Albany Airport 	Albany; Western Australia; Australia
ALI 	KALI 	Alice International Airport 	Alice; Texas; United States
ALJ 	FAAB 	Kortdoorn Airport 	Alexander Bay; South Africa
ALK 		Asella Airport 	Asella; Ethiopia
ALL 	LIMG 	Villanova d'Albenga International Airport 	Albenga; Italy
ALM 	KALM 	Alamogordo-White Sands Regional Airport 	Alamogordo; New Mexico; United States
ALN 	KALN 	St. Louis Regional Airport 	Alton; Illinois; United States
ALO 	KALO 	Waterloo Regional Airport 	Waterloo; Iowa; United States
ALP 	OSAP 	Aleppo International Airport (Nejrab Airport) 	Aleppo; Syria
ALQ 	SSLT 	Alegrete Federal Airport 	Alegrete; Rio Grande do Sul; Brazil
ALR 	NZLX 	Alexandra Airport 	Alexandra; New Zealand
